TITLE (ORIGINAL),Corrected Title,Category
ASST TO DEPUTY STAFF DIRECTOR ,Assistant to Deputy Staff Director ,Assistant to the deputy staff director
SYSTEMS MANAGER ASSISTANT,Systems Manager Assistant,Systems manager assistant
"LEG STAFF ASST, AVIATION, MIN ","Legislative Staff Assistant, Aviation, Minority ",Legislative staff assistant
PROF STAFF-COAST GUARD SUB-MIN,Professional Staff - Coast Guard Subcommittee - Minority,Professional staff
LEGISLATIVE STAFF ASST (MIN) ,Legislative Staff Assistant (Minority) ,Legislative staff assistant
SCHEDULER/EXC ASST - MIN,Scheduler / Executive Assistant - Minority,Scheduler/ executive assistant
STAFF ASST-WATER RES & ENV SUB,Staff Assistant - Water Resources and Environment Subcommittee,Staff assistant
MINORITY-PRO STAFF-COAST GUARD ,Minority - Professional Staff - Coast Guard ,Professional staff member
STAFF ASST-ECON DEV SUB ,Staff Assistant - Economic Development Subcommittee ,Staff assistant
STAFF ASSISTANT-AVIATION-MIN,Staff Assistant - Aviation - Minority,Staff assistant
"STAFFASST MIN,ED/PB/EM/RAILSUB","Staff Assistant Minority, Subcommittee on Economic Development, Public Buildings and Emergency Management",Staff assistant
STAFF ASSISTANT-WATER RESOURCE ,Staff Assistant - Water Resources ,Staff assistant
STAFF ASSISTANT-FULL COMM-MINO,Staff Assistant - Full Committee - Minority,Staff assistant
DEPUTY COMMUICATIONS DIRECTOR ,Deputy Communications Director ,Deputy communications director
INTERN - REPUBLICAN,Intern - Republican,Intern
SHARED STAFF/SC ON SPACE,Shared Staff / Subcommittee on Space,Shared staff
PROF STAFF SUBC ON TECH&INNOVA,Professional Staff Subcommittee on Technology and Innovation,Professional staff member
"SENIOR ADVISOR, FULL COMMITTEE ","Senior Advisor, Full Committee ",Senior advisor
REPUBLICAN SR POLICY ADVISOR,Republican Senior Policy Advisor,Senior policy advisory
