TITLE (ORIGINAL),Corrected Title,Category
SCHED AND DIR OF SPECIAL EVENT,Scheduler and Director of Special Events,
FLOOR DIRECTOR AND COUNSEL,Floor Director and Counsel,
DEP FLOOR DIR AND SENIOR ADVIS,Deputy Floor Director and Senior Advisor,
EVENTS AND PROJECTS COORDINATO,Events and Projects Coordinator,
DIR OF MULTIMEDIA COMM AND TEC,Director of Multimedia Communications and Technology,
SR RECVNG AND WAREHOUSING SPEC,Senior Receiving and Warehousing Specialists,
IT ADVOCACY AND OPS MANAGER,Information Technology Advocacy and Operations Manager,
DIRECTOR PAYROLL AND BENEFITS,Director Payroll and Benefits,
DIR NETWORK AND UNIFIED COMMUN,Director Network and Unified Communications,
"DIR., SYSTEMS AND OPERATIONS","Director, Systems and Operations",
PRINCIPAL AND GUIDANCE COUNSEL,Principal and Guidance Counsel,
OFFICE AND PRODUCTION ASSIST,Office and Production Assistant,
SCHEDULER AND POLICY ANALYST,Scheduler and Policy Analyst,
CASE AND PROJECT MGT,Case and Project Management,
SR POLICY ADVISOR AND COUNSEL,Senior Policy Advisor and Counsel,
CASEWORKER AND DISTRCIT COMM,Caseworker and District Communications,
DIST FIELD REP AND VET AFFRS,District Field Representative and Veterans Affairs,
OUTREACH AND GRANTS MANAGER,Outreach and Grants Manager,
SYS ADMIN AND WEBSITE MGR,Systems Administrator and Website Manager,
GRANTS AND SPECIAL PROJECTS,Grants and Special Projects,
MILITARY AND VETERANΓÇÖS LIAISON,Military and Veterans Liaison,
DIR OF CONSTIT SERV AND OUTREA,Director of Constituent Services and Outreach,
DEVELOPMENT AND PROJECTS ASST,Development and Projects Assistant,
DIR OF SPEC PROJ AND FLD REP,Director of Special Projects and Field Representative,
BUS. AND MILITARY AFFAIRS LIAI,Business and Military Affairs Liaison,
SEN POL ADV FOR EC DEV AND EMP,Senior Policy Advisor for Economic Development and Employment,
COUNSEL AND SENIOR ADVISOR,Counsel and Senior Advisor,
DEPUTY C.O.S. AND NATO PA COOR,Deputy Chief of Staff and NATO Parliamentary Assembly Coordinator,
SENIOR STAFF ASST AND HR SPEC,Senior Staff Assistant and Human Relations Specialist,
COUNSEL AND BUDGET ANALYST,Counsel and Budget Analyst,
COALITIONS AND MEM SVC COORD,Coalition and Member Services Coordinator,
FINANCIAL AND ADMIN. OFFICER,Financial and Administrative Officer,
CLERK AND LEGISLATIVE ADVISOR,Clerk and Legislative Advisor,
EDITOR AND ASST CLERK,Editor and Assistant Clerk,
DIRECTOR OF POLICY AND OUTREAC,Director of Policy and Outreach,
TRADE ADVISOR AND SR ECONOMIST,Trade Advisor and Senior Economist,
HUMAN RESOURCES GENERALIST,Human Resources Generalist,
STAFF ASST/COMMUNITY LIAISON,Staff Assistant / Community Liaison,
STAFF ASSIST/HR SPECIALIST,Staff Assistant / Human Resources Specialist,
COMMERICIAL AND AD LAW COUNSEL,Commercial and Administrative Law Counsel,
SEN PROF STAFF,Senior Professional Staff,
ASSETS AND FACILITIES SUPERVIS,Assets and Facilities Supervisor,
OUTREACH AND COALITIONS DIR,Outreach and Coalitions Director,
PRESS ASST AND SR STAFF ASSIST,Press Assistant and Senior Staff Assistant,
SEN SAFETY AND SECURITY ADVISO,Senior Safety and Security Advisor,
GEN COUNS AND SENIOR POL ADV,General Counsel and Senior Policy Advisor,
DIR OF EXT AFRS AND COMM OUTRE,Director of External Affairs and Communications Outreach,
GRANTS AND PROJECTS COORD,Grants and Projects Coordinator,
DIR OF INTERGOV'T AFFAIRS,Director of Intergovernmental Affairs,
STAFF ASSISTANT-CORRES.,Staff Assistant / Legislative Correspondent,
STAFF ASSISTANT/FELLOW,Staff Assistant / Fellow,
SENIOR ADVISOR TO THE CHAIRMAN,Senior Advisor to the Chairman,
PRESS ASST/RESCHR FOR VICE CHR,Press Assistant / Researcher for Vice Chairman,
POLICY DIR/LEGISLATIVE COUNSEL,Policy Director / Legislative Counsel,
DEP SCHEDULER/EXEC ASSISTANT,Deputy Scheduler/ Executive Assistant,
DIRECTOR WEB SYSTEMS,Director Web Systems,
"ACTING DIR, FIN COUNSELING","Acting Director, Financial Counseling",
INVENTORY AND PLANNING MANAGER,Inventory and Planning Manager,
PROGRAM MANAGER,Program Manager,
DIRECTOR MEMBERS' SERVICES,Director Members' Services,
PHOTOGRAPHIC LAB TECHNICIAN,Photographic Lab Technician,
INFO SYSTEMS SECURITY MGR,Information Systems Security Manager,
CFO/ASSISTANT CAO,Chief Financial Office / Assistant Chief Administrative Officer,
CLIENT RELATIONS SPECIALIST,Client Relations Specialist,
HR POLICY & PRACTICE ADVISOR,Human Resource Policy and Practice Advisor,
VACANCY OUTREACH COORDINATOR,Vacancy Outreach Coordinator,
"ACTING DIRECTOR, FIRSTCALL","Acting Director, Firstcall",
"DIRECTOR,COMMUNICATIONS",Communications Director,
NON STATUTORY COMP.,Non Statutory Compensation,
CONGRESSWOMEN'S SUITE COORDINA,Congresswoman's Suite Coordinator,
PUBLICATIONS SPECIALIST,Publications Specialist,
ASSOCIATE COUNSEL,Associate Counsel,
GRAPHIC DESIGNER II,Graphic Designer II,
SENIOR AUDIO TECH,Senior Audio Technician,
"DIRECTOR, PREPAREDNESS",Preparedness Director,
"DIR, SAA INTERNAL PREPAREDNESS","Director, Sergeant At Arms Internal Preparedness",
ASST SAA FOR EMERGENCY MGMT,Assistant Sergeant At Arms for Emergency Management,
SR ASST SAA FOR EMERGENCY MGMT,Senior Assistant Sergeant at Arms for Emergency Management,
"SPECIAL ASST, PREPAREDNESS","Special Assistant, Preparedness",
EMERGENCY MANAGEMENT SPEC,Emergency Management Specialist,
"SPEC ASST, CONTINUITY PLANNING","Special Assistant, Continuity Planning",
"DIRECTOR, OPERATIONS","Director, Operations",
"DIRECTOR, CONTINUITY PLANNING","Director, Continuity Planning",
DEP ASST SAA EMERGENCY MGMT,Deputy Assistant Sergeant at Arms Emergency Management,
ASSISTANT SCHEDULER,Assistant Scheduler,
SENIOR LEGISLATION ASSISTANT,Senior Legislative Assistant,
COMMUNITY RELATIONS REP,Community Relations Representative,
SR ADVISOR FOR POLICY & DEVELO,Senior Advisor for Policy and Development,
DIRECTOR OF COMMUNITY DEVELOPM,Director of Community Development,
DIR CONST AFF/NW DIST OUTREACH,Director of Constituent Affairs/ NW District Outreach,
PRESS SECY/OFFICE MGR,Press Secretary / Office Manager,
DIRECTOR OF NEWS MEDIA,Director of News Media,
ASSISTANT FOR CONST. SERV.,Assistant for Constituent Services,
SCHEDULER/SPECIAL ASSISTANT,Scheduler / Special Assistant,
HEALTH POLICY DIRECTOR,Health Policy Director,
DEPUTY POLICY DIRECTOR,Deputy Policy Director,
FINANCIAL SERVICES LEGIS ASST,Financial Services Legislative Assistant,
SR FIELD REP/DIST SCHEDULER,Senior Field Representative / District Scheduler,
SENIOR LA/LC,Senior Legislative Assistant / Legislative Correspondent,
APPROPRIATIONS ASST,Appropriations Assistant,
COMMUNICATIONS DIR/SCHEDULER,Communications Director / Scheduler,
DEPUTY ADMIN ASSISTANT,Deputy Administrative Assistant,
COMMUNICATIONS REP,Communications Representative,
DEP COMMUNICATIONS DIRECTOR,Deputy Communications Director,
PROJECT & LEGISLATIVE DIRECTOR,Project and Legislative Director,
MILITARY AND VETERAN'S LIAISON,Military and Veteran's Liaison,
SR LEGISLATIVE ASSOCIATE,Senior Legislative Associate,
DIST REP/DPTY COMM DIR,District Representative / Deputy Communications Director,
DISTRICT REP/LEG CORRESPONDENT,District Representative / Legislative Correspondent,
LEGIS ASST-INTERGOV'T AFFAIRS,Legislative Assistant - Intergovernmental Affairs,
DEPUTY DIRECTOR COMMUNICATIONS,Deputy Director of Communications,
DIR OF SCHEDULING & OPERATIONS,Director of Scheduling and Operations,
SR POL ADVISOR/PRESS SECRETARY,Senior Policy Advisor / Press Secretary,
SENIOR LEGISLATIVE ADVISOR,Senior Legislative Advisor,
SYSTEM ADMIN/STAFF ASSISTANT,System Administrator / Staff Assistant,
LUBBOCK DISTRICT SCHEDULER,Lubbock District Scheduler,
CASEWORKER/COMMUNITY OUTREACH,Caseworker / Community Outreach,
CASEWORKER/INTERGOV'T AFF SPEC,Caseworker / Intergovernmental Affairs Specialist,
PROJECT SPECIALIST,Project Specialist,
HOMELAND SECURITY COUNSEL,Homeland Security Counsel,
DEP CHIEF OF STAFF & LEGIS DIR,Deputy Chief of Staff and Legislative Director,
ASSOCIATE STAFF,Associate Staff,
COMMUNICATIONS/MEDIA DIRECTOR,Communications / Media Director,
DIRECTOR OF VETERANS SERVICES,Director of Veterans Services,
SCHEDULER/SPEC EVENTS COORD,Scheduler / Special Events Coordinator,
CONSTITUENT SERVICES ASSOCIATE,Constituent Services Associate,
DISTRICT SCHEDULER/FIN ADMINIS,District Scheduler / Financial Administrator,
SR LA FOR MILITARY & FOREIGN,Senior Legislative Assistant for Military and Foreign Affairs,
OFFICE & SPEC PROJ COORDINATOR,Office and Special Projects Coordinator,
NON-STATUTORY COMPENSATION,Non-Statutory Compensation,
NORTHWEST DISTRICT FIELD REP,Northwest District Field Representative,
SOUTHWEST DISTRICT DIRECTOR,Southwest District Director,
SR LEG ASST/OFFICE ADMINISTRA,Senior Legislative Assistant / Office Administrator,
CONSTIT.SERV.DIR/GRANTS ADMIN,Constituent Services Director / Grants Administrator,
MLA,Military Legislative Assistant,
ASST TO CONG. CULBERSON,Assistant to Congressman Culberson,
ASSISTANT TO CONG. BOYD,Assistant to Congressman Boyd,
"RESEARCH ASST,Democratic STAFF","Research Assistant, Democratic Staff",
COMMITTEE ADMINISTRATOR,Committee Administrator,
COUNTERTERRORISM ADVISOR,Counterterrorism Advisor,
STAFF DIRECTOR/CHIEF COUNSEL,Staff Director / Chief Counsel,
3(D)L COUNSEL,Counsel,
LEGAL RESEARCH ASSISTANT,Legal Research Assistant,
DIRECTOR OF HOUSE OPERATIONS,Director of House Operations,
GEN COUNSEL & CHIEF OF LEG OPS,General Counsel and Chief of Legislative Operations,
ASST TO THE SPEAKER FOR POLICY,Assistant to the Speaker for Policy,
"DEP CHIEF OF STAFF,COMMUN OPS","Deputy Chief of Staff, Community Operations",
DEP CHIEF OF STAF FOR LEAD OPS,Deputy Chief of Staff for Lead Operations,
ASST TO SPEAKER FOR POLICY,Assistant to the Speaker for Policy,
ADVANCE & DIGITAL PRODUC MGR,Advance and Digital Production Manager,
SR ADVISOR FOR MEMBER SERVICES,Senior Advisor for Member Services,
DIRECTOR-OUTREACH,Director of Outreach,
DIRECTOR OF ADMIN OPERATIONS,Director of Administrative Operations,
ASSIST TO THE GENERAL COUNSEL,Assistant to the General Counsel,
SPECIAL EVENTS COORDINATOR,Special Events Coordinator,
DEPUTY DIR MEMBERS SERVICES,Deputy Director of Member Services,
ASST TO THE CHIEF OF STAFF,Assistant to the Chief of Staff,
DEPUTY DIRECTOR OF FLOOR OPERA,Deputy Director of Floor Operations,
RESEARCH DIRECTOR,Research Director,
SPECIAL ASST TO THE LEADER,Special Assistant to the Leader,
OUTREACH MGR/SPEC ASST,Outreach Manager / Special Assistant,
POLICY DIR AND GENERAL COUNSEL,Policy Director and General Counsel,
DIR OF STRATEGIC COMMUNICATION,Director of Strategic Communications,
DEP DIR OF MEM SERV & COALITIO,Deputy Director of Member Services and Coalition,
CHIEF OF STAFF TO THE DEP WHIP,Chief of Staff to the Deputy Whip,
SPECIAL ASST TO CHIEF DEPUTY W,Special Assistant to the Chief Deputy Whip,
SR ADV FR WHIP OP/CHF DEP WHIP,Senior Advisor for Whip Operations / Chief Deputy Whip,
WHIP COORDINATOR,Whip Coordinator,
MEMBER SRVS AND OUTREACH COORD,Member Services and Outreach Coordinator,
WHIP DIR AND SENIOR ADVISOR,Whip Director and Senior Advisor,
SENIOR ADV POLICY & COMM,Senior Advisor Policy and Communications,
SR STAFF ASST SYS ADMIN,Senior Staff Assistant and Systems Administrator,
FLOOR DIR AND SENIOR ADVISOR,Floor Director and Senior Advisor,
SENIOR ADVISOR/POLICY COMM,Senior Advisor / Policy Communications,
SENIOR POLICY COUNSEL,Senior Policy Counsel,
EXECUTIVE ADVISOR,Executive Advisor,
RESEARCH & TECHNOLOGY ASST,Research and Technology Assistant,
SR ADV FOR LEG INITIATIVES,Senior Advisor for Legislative Initiatives,
COMM DIR/SENIOR ADVISOR (STAT),Communications Director / Senior Advisor (Statutory),
DEP COMM DIR/PRESS SEC,Deputy Communications Director / Press Secretary,
PRESS SEC & DEPUTY COMM DIR,Press Secretary and Deputy Communications Director,
SR ADV & DIR OF MEMBER SVC,Senior Advisor and Director of Member Services,
DIRECTOR OF DIGITAL MEDIA,Director of Digital Media,
HOUSE OPERATIONS ASSISTANT,House Operations Assistant,
ADVISOR TO THE LEADER,Advisor to the Leader,
MANAGER REPUBLICAN CLOAKROOM,Manager of Republican Cloakroom,
CHIEF FLOOR SERVICE (MIN),Chief Floor Service (Minority),
"DIRECTOR, ENTERPRISE APPLICATI","Director, Enterprise Applications",
SENIOR ASSISTANT COUNSEL,Senior Assistant Counsel,
"ASST TO THE SGT AT ARMS, OPERA","Assistant to the Sergeant at Arms, Operations",
DIR PERFORMANCE & FIN AUDITS,Director of Performance and Financial Audits,
RESEARCH AND MEDIA ASSISTANT,Research and Media Assistant,
POLICY ADVISER,Policy Advisor,
MILITARY AIDE,Military Aide,
SENIOR ADVISOR FOR DIST AFFAIR,Senior Advisor for District Affairs,
STAFF ASSIST/OFFICE MANAGER,Staff Assistant / Office Manager,
"DIRECTOR, SOCIAL MEDIA","Director, Social Media",
DEP CHIEF OF STAFF/COMM DIR,Deputy Chief of Staff / Communications Director,
LEG ASST & SPECIAL ASST,Legislative Assistant and Special Assistant,
SPECIAL ASSISTANT/LEGIS ASSIST,Special Assistant / Legislative Assistant,
LEGISLATIVE ASSISTANT/COMMUNIC,Legislative Assistant / Communications,
COUNSEL/LEGISLATIVE ASSISTANT,Counsel / Legislative Assistant,
DEPUTY STATE DIRECTOR,Deputy State Director,
EXEC DIR - IRC,Executive Director - Immigration Reform Caucus,
LEG CORRESPONDENT/LEG ASST,Legislative Correspondent / Legislative Assistant,
SENIOR COMMUNICATIONS ADVISOR,Senior Communications Advisor,
REGIONAL OUTREACH REP,Regional Outreach Representative,
DIST FIELD REP & CASEWORKER,District Field Representative and Caseworker,
(P),(p),
CONSTITUENT REP. MANAGER,Constituent Representative Manager,
DIST COMMU & MEDIA RELA DIR,District Communications and Media Relations Director,
"OFFICE MANAGER, SCHEDULER","Office Manager, Scheduler",
SOUTHSIDE FIELD REPRESENTATIVE,Southside Field Representative,
DISTRICT PRESS/POLICY ADVISOR,District Press Secretary / Policy Advisor ,
KENT&SUSSEX COUNTY COORDINATOR,Kent and Sussex County Coordinator,
CONSTITUENT CORRESPONDENT,Constituent Correspondent,
DIRECTOR OF SENIOR SERVICES,Director of Senior Services,
BUSINESS RELATIONS REP,Business Relations Representative,
STAFF ASST/DISTRICT SCHEDULER,Staff Assistant / District Scheduler,
SR LEGIS ASST/SPECIAL PROJ DIR,Senior Legislative Assistant / Special Projects Director,
DISTRICT STAFF ASSIST,District Staff Assistant,
CASEWORKER/CONSTITUENT OUTREAC,Caseworker / Constituent Outreach,
ASST TO THE DEPT COS,Assistant to the Deputy Chief of Staff,
SR LEGIS ASST/NATURAL RES MGR,Senior Legislative Assistant / Natural Resources Manager,
OUTREACH DIRECTOR/REGIONAL REP,Outreach Director / Regional Representative,
REGIONAL DIR/SR ENERGY ADV,Regional Director / Senior Energy Advisor,
GRANT COORDINATOR/CASEWORKER,Grant Coordinator / Caseworker,
CASEWORKER/CORPUS CHRISTI,Caseworker / Corpus Christi,
CASEWORKER/LEGISLATIVE ASST,Caseworker / Legislative Assistant,
EXEC ASSISTANT CORPUS CHRISTI,Executive Assistant Corpus Christi,
DIRECTOR OF APPROPRIATIONS,Director of Appropriations,
LEGIS DIRECTOR/LEGAL COUNSEL,Legislative Director / Legal Counsel,
LEGISLATIVE AIDE/OFFICE MGR,Legislative Aide / Office Manager,
SCHEDULER/CASEWORKER,Scheduler / Caseworker,
STAFF ASST/LEGISLATIVE CORRES,Staff Assistant / Legislative Correspondent,
DC COMMUNICATIONS DIRECTOR,DC Communications Director,
FIELD DIR CONTRA COSTA,Field Director Contra Costa,
"FIELD DIRECTOR, SOLANO COUNTY","Field Director, Solano County",
PRESS ASSISTANT/DISTRICT REP,Press Assistant / District Representative,
DISTRICT DIR./PRESS SECRETARY,Direct Director / Press Secretary,
DISTRCT OFC MGR/FIELD REP/CASE,District Office Manager / Field Representative / Caseworker,
FIELD REP/CASE,Field Representative / Caseworker,
CASEWORKER/OFFICE MANAGER,Caseworker / Office Manager,
DIST LA/BUS & COMMERCE LIASION,District Legislative Assistant / Business and Commerce Liaison,
DIST REP FOR MIL & VET AFFAIRS,District Representative for Military and Veterans Affairs,
SENIOR CONGRESSIONAL REPRESENT,Senior Congressional Representative,
STATON ISLAND STAFF DIRECTOR,Staten Island Staff Director,
STATEN ISLAND STAFF DIRECTOR,Staten Island Staff Director,
BROOKLYN STAFF DIRECTOR,Brooklyn Staff Director,
COMM DIR/SR POLICY ADVISOR,Communications Director / Senior Policy Advisor,
COMMUNITY RELATIONS SPECIALIST,Community Relations Specialist,
DIR OF BUS OUTR & MEM SVCS,Director of Business Outreach and Member Services,
SPECIAL ASST/CONSTITUENT LIAIS,Special Assistant / Constituent Liaison,
BUS OPERATIONS/SCHEDULING DIR,Business Operations/ Scheduling Director,
IN-STATE SCHEDULER/FIELD REP,In-state Scheduler / Field Representative,
DISTRICT STAFF,District Staff,
OFFICE STAFF,Office Staff,
PERSONNEL MANAGER,Personnel Manager,
CONSTIT SRVCS REP/GRANTS COORD,Constituent Services Representative / Grants Coordinator,
SR POLICY ADVISOR FOR INTELLIG,Senior Policy Advisor for Intelligence,
LEGIS CORR/ONLINE COMM DIR,Legislative Correspondent / Online Communications Director,
LEGIS CORRES/GRANTS COORDINATR,Legislative Correspondent / Grants Coordinator,
DISTRICT DEPUTY CHIEF OF STAFF,District Deputy Chief of Staff,
AIDE,Aide,
COMMUNICATIONS & POLICY DIRECT,Communications and Policy Director,
DIRECTOR OF SCHEDULING & ADMIN,Director of Scheduling and Administration,
DIR OF OUTREACH & COALITION,Director of Outreach and Coalition,
OFFICE MGR & CONST SVCS REP,Office Manager and Constituent Services Representative,
PRESS & STAFF ASSISTANT,Press and Staff Assistant,
DIR. OF CONSTITUENT SERVICES,Director of Constituent Services,
SENIOR LEGIS ASST/COUNSEL,Senior Legislative Assistant / Counsel,
DISTRICT SCHEDULER/CONG AIDE,District Scheduler / Congressional Aide,
FIELD REP,Field Representative,
FIELD REP & SECURITY DIRECTOR,Field Representative and Security Director,
FIELD REP-DIST OFC,Field Representative,
RSC DEPUTY COMM. DIR.,Republican Study Committee Deputy Communications Director,
AGRICULTURE LIAISON,Agriculture Liaison,
CONSTIT OUTREACH & GRANT COORD,Constituent Outreach and Grant Coordinator,
STAFF & CORRESPONDENCE ASST,Staff and Correspondence Assistant,
STAFF AND SPECIAL PROJECTS ASS,Staff and Special Projects Assistant,
STRATEGIC COMMUNICATIONS MNGR,Strategic Communications Manager,
SR/MILITARY LEGISLATIVE ASST,Senior / Military Legislative Assistant,
SOLANO REPRESENTATIVE,Solano Representative,
DIR.-NATURAL RESOURCE ISSUES,Director of Natural Resources Issues,
DIRECTOR OF TRANSPORTATION,Director of Transportation,
NEW MEDIA/COMMUNICATIONS AIDE,New Media / Communications Aide,
OFFICE MANAGER/LEG COORDINATOR,Office Manager / Legislative Coordinator,
PUBLIC AFFAIRS REP,Public Affairs Representative,
LEGISLATIVE RESEARCH ASSISTANT,Legislative Research Assistant,
DEPUTY CHIEF AND LEGIS DIRECTO,Deputy Chief and Legislative Director,
WEST RIVER DIRECTOR,West River Director,
BLACK MEN/BOYS CRD & RCDS ADM,"Council on the Status of Black Men and Boys, Coordinator and Records Administrator",
CONSTITUENT SVCS LIAISON,Constituent Services Liaison ,
COMM DIRECTOR/LEGIS AIDE,Communications Director / Legislative Aide,
EXEC. DIR/CONG WESTERN CAUCUS,Executive Director / Congressional Western Caucus,
CO-DIR OF CORRESPONDENCE,Co-Director of Correspondence,
OFFICE MGR/ADMINISTRATIVE DIR,Office Manager / Administrative Director,
SCHEDULER/PRESS ASST,Scheduler / Press Assistant,
SENIOR CONGRESSIONAL LIAISON,Senior Congressional Liaison,
CONGRESSIONAL OUTREACH DIR,Congressional Outreach Director,
SUBCOMMITTEE POLICY COORDINATO,Subcommittee Policy Coordinator,
STAFF ADVISOR,Staff Advisor,
PRESS SECRETARY/COMM. DIRECTOR,Press Secretary / Communications Director,
IMMIGRATION COUNSEL,Immigration Counsel,
COMMUNICATIONS&SYS SPECIALIST,Communications and Systems Specialist,
STAFF ASSISTANT/DISTRICT AIDE,Staff Assistant / District Aide,
DEPUTY COS /DIR OF CONSTIT OPS,Deputy Chief of Staff / Director of Constituent Operations,
COMMUNITY RELATIONS COORD,Community Relations Coordinator,
LEGIS ASST/LEGIS CORRES,Legislative Assistant / Legislative Correspondent,
DIR OF COMMUNICATION,Director of Communications,
DIR OF SPECIAL PROJECTS,Director of Special Projects,
PERSONAL AIDE/STAFF ASSISTANT,Personal Aide / Staff Assistant,
MILITARY AFFAIRS ADVISOR,Military Affairs Advisor,
FINANCIAL ADVISOR,Financial Advisor,
DISTRICT DIRECTOR/DEPUTY C.O.S,District Director / Deputy Chief of Staff,
ADVISOR FOR WHIP OPERATIONS,Advisor for Whip Operations,
INTERGOVERNMENTAL RELATIONS,Intergovernmental Relations,
CONSTITUENT RELATIONS DIR,Constituent Relations Director,
COMMUNITY RELATIONS DIRECTOR,Community Relations Director,
LEGISLATIVE & POLICY ANALYST,Legislative and Policy Analyst,
CONSTITUENT SVCS TEAM LEADER,Constituent Services Team Leader,
BURLINGTON CASEWORKER,Burlington Caseworker,
BURLINGTON STAFF ASSISTANT,Burlington Staff Assistant,
DPTY CHIEF OF STAFF/DIST DIR,Deputy Chief of Staff / District Director,
SR. POLICY COUNSEL/LEG. DIR.,Senior Policy Counsel / Legislative Director,
STAFF ASST. - MOBILE OFFICE,Staff Assistant - Mobile Office,
PRESS.POLICY AIDE,Press Policy Aide,
SPECIAL ASST TO THE CONGRESSMA,Special Assistant to the Congressman,
SR POLICY ADV FOR HEALTH CARE,Senior Policy Advisor for Health Care,
DIR CONSTIT SVCS & OFFICE MGR,Director of Constituent Services and Office Manager,
DIR OF COALITIONS AND OUTREACH,Director of Coalitions and Outreach,
DISTRICT AIDE/SCHEDULER,District Aide / Scheduler,
MILITARY & VETERANS' AFFAIRS C,Military and Veterans' Affairs Coordinator,
ASSISTANT COMMUNITY DIRECTOR,Assistant Community Director,
ASSISTANT CHIEF OF STAFF,Assistant Chief of Staff,
DIST OFFICE CHIEF OF STAFF,District Office Chief of Staff,
DEPUTY DIST OFFICE CHF OF STF,Deputy District Office Chief of Staff,
DEPUTY PRESS SECY/LEGIS ASST,Deputy Press Secretary / Legislative Assistant,
CONST SVC REP/CASEWORK,Constituent Services Representative / Caseworker,
SCHEDULER/DIR OF SPECIAL PROJE,Scheduler / Director of Special Projects,
ONLINE COMMUNICATIONS MANAGER,Online Communications Manager,
CONST SVCS/LD CASEWORKER,Constituent Services / Lead Caseworker,
"DIR OF MIL AFF,BUS & DEF PROGR","Director of Military Affairs, Business and Defense Programming",
EXEC ASST/PROJECT COORDINATOR,Executive Assistant / Project Coordinator,
MILITARY/VA LIAISON,Military / Veterans' Affairs Liaison,
ADVISOR,Advisor,
JUNIOR CASEWORKER,Junior Caseworker,
NATIONAL SEC POLICY ADVISOR,National Security Policy Advisor,
STAFF ASST/GRANTS COORDINATOR,Staff Assistant / Grants Coordinator,
STAFF ASST/LEGISLATIVE ASST,Staff Assistant / Legislative Assistant,
STAFF ASST/SYSTEMS ADMIN,Staff Assistant / Systems Administrator,
CONST. OUTREACH/OPERATIONS,Constituent Outreach / Operations,
OFFICE MANAGER/MAIL DIRECTOR,Office Manager / Mail Director,
STAFF ASST/NEW MEDIA MGR,Staff Assistant / New Media Manager,
SR. POLICY ADV/PRESS SEC,Senior Policy Advisor / Press Secretary,
DEP CHIEF OF STAFF(WASHINGTON),Deputy Chief of Staff,
AGRICULTURE FIELD REP,Agriculture Field Representative,
DIRECTOR OF COAILITION OUTREAC,Director of Coalition Outreach,
DIRECTOR OF FIELD OPERATIONS,Director of Field Operations,
INTERNATIONAL CONSTITUENT LIAI,International Constituent Liaison,
DEPUTY CHIEF OF STAFF/LEG ASST,Deputy Chief of Staff / Legislative Assistant,
JR LEGIS ASST/SYSTEMS ADMIN,Junior Legislative Assistant / Systems Administrator,
CONSTIT SVCS REP/CASEWORKER,Constituent Services Representative / Caseworker,
LEG CORRESPONDENT/INTERN COORD,Legislative Correspondent / Intern Coordinator,
CLERK AND STAFF DIRECTOR,Clerk and Staff Director,
MINORITY PRESS SECRETARY,Minority Press Secretary,
MIN STAFF ASSISTANT & COUNSEL,Minority Staff Assistant and Counsel,
MIN DEPUTY STAFF DIRECTOR,Minority Deputy Staff Director,
SR BUDGET REVIEW SPECIALIST,Senior Budget Review Specialist,
SENIOR BUDGET ANALYST,Senior Budget Analyst,
SHARED STAFF/REP. VAN HOLLEN,Shared Staff / Representative Van Hollen,
SHARED-SUBC STAFF DIR,Shared Staff - Subcommittee Staff Director,
MINORITY SUBC STAFF DIRECTOR,Minority Subcommittee Staff Director,
SCIENCE ADVISOR,Science Advisor,
MINORITY CHIEF ECONOMIST,Minority Chief Economist,
SUBCOM STAFF DIR & COUNSEL,Subcommittee Staff Director and Counsel,
MINORITY-LEGISLATIVE DIRECTOR,Minority Legislative Director,
MIN SR POLICY ADVISOR,Minority Senior Policy Advisor,
MINORITY OFFICE MANAGER,Minority Office Manager,
SPECIAL ASST TO THE CHAIRMAN,Special Assistant to the Chairman,
ONLINE COMMUNICATIONS,Online Communications,
PARLIAMENTARIAN/SEN COUNSEL,Parliamentarian / Senior Counsel,
SENIOR ANALYST,Senior Analyst,
PRESS SECRETARY - EDUCATION,Press Secretary - Education and the Workforce Committee,
DEP DIR OF EDUCATION POLICY,Deputy Director of Education Policy,
DIRECTOR OF EDUCATION POLICY,Director of Education Policy,
EDUCA POLICY COUN & SR ADVISOR,Education Policy Counsel and Senior Advisor,
NEW MEDIA PRESS ASSISTANT,New Media Press Assistant,
PRESS SECRETARY - WORKFORCE,Press Secretary - Education and the Workforce Committee,
DEP DIR OF POLICY & PLANNING,Deputy Director of Policy and Planning,
FINANCIAL ADMINISTRA OFFICER,Financial Administration Officer,
EDUC & HUMAN SERV OVER COUNSEL,Education and Human Services Oversight Counsel,
SR EDUCA & DISABILITY ADVISOR,Senior Education and Disability Advisor,
ADMIN DIRECTOR & SR ADVISOR,Administrative Director and Senior Advisor,
DIR OF LABOR POL/CHIEF POL ADV,Director of Labor Policy / Chief Policy Advisor,
SPECIAL ASST TO MINORITY MEMBE,Special Assistant to Minority Members,
CHIEF COUN & OVERST STAFF DIR,Chief Counsel and Oversight Staff Director,
"CHIEF COUN COMM,MANU & TRADE","Chief Counsel, Subcommittee on Commerce, Manufacturing and Trade",
SR PLCY ADVR/DIR OF COALITIONS,Senior Policy Advisor / Director of Coalitions,
MINORITY CHIEF CLERK,Minority Chief Clerk,
INVEST STAFF DIR & SR POL ADV,Investigations Staff Director and Senior Policy Advisor,
DEPUTY POLICY DIRECTOR/COUNSEL,Deputy Policy Director / Counsel ,
"SR POL ADV, DIR OF COALITIONS",Senior Policy Advisor / Director of Coalitions,
ENERGY & ENVIRONMENT STAFF DIR,Energy and Environment Staff Director,
SR HEALTH POLICY ADVISOR,Senior Health Policy Advisor,
ADMINISTRATIVE ASST/CHIEF,Administrative Assistant / Chief of Staff,
